nl,code,utils
List all files under current directory matching the regex '.*\(c\|h\|cpp\)',find arg -type f -regex arg,find ls
Search for first match of the regex 're' in all *.coffee files under current directory,find arg -name arg -exec awk,find awk
dump files in octal and other formats,od,od
display who is on the system print system login processes only hostname and user associated all login names and number print current runlevel same as <b>-t</b>,who -m -q --login --message --runlevel,who
,] arg,]
,popd,popd
Removes all top-level empty folders within the current folder.,ls | xargs -I {} rmdir,xargs ls rmdir
"sort and/or merge files compare (unknown) &lt; 'jan' &lt; natural sort of (version) numbers check for sorted input; do use dir for temporaries, not and sort lines of text files compare (unknown) &lt; 'jan' &lt; use dir for temporaries, not",sort -M --check ARG --temporary-directory arg --version-sort | sort -T arg --month-sort,sort
Counts all files in a DIR_NAME folder and subfolders.,find arg -type f | wc,find wc
construct argument lists and invoke utility use at most <u>max-lines</u> nonblank reopen stdin as <u>/dev/tty</u> in display the limits on the,xargs -L -Quantity --show-limits,xargs
strip file name affixes support multiple arguments and treat end each output line with,basename --multiple --zero arg,basename
Creates temporary file and saves path to it in 'content_dir1' variable.,$( mktemp ),mktemp
display long listing of all files in the current directory whose size is 24 or 25 bytes.,find arg -size -Size -size +Size,find
Find all regular files under $SOURCE directory tree that were modified more than $KEEP days ago and show only the names without the paths,find arg -type f -mtime +Timespan,find sed
"a block-sorting file compressor, v1.0.6 force overwrite of output files.",bunzip2 --force,bunzip2
change the file group ownership like verbose but report only do not treat '/' specially do not traverse any symbolic,chgrp arg --changes --no-preserve-root arg,chgrp
Find all symbolic links containing 'javaplugin' in their names under '/usr' directory tree,find arg -lname arg,find
"print or set the system date and time display time described by string, output date/time in rfc 3339 display the last modification time and catenate files",date -d arg -r arg --rfc-3339 ARG | read,read date
"authentication key generation, management and conversion specify a key format for specify a certificate option when",ssh-keygen -O -m arg,ssh-keygen
,sudo,sudo
"send ICMP ECHO_REQUEST packets to network hosts wait <u>wait</u> seconds <u>between</u> <u>sending</u> if <u>preload</u> is specified, <b>ping</b> buffer on returned packets. note is not on a directly-attached verbose output. icmp packets other",ping -R -i -Quantity -r -v arg,ping
"user information lookup program the terminal name if write the user's home directory, home “<u>.pgpkey</u>” files. and output the last part of files keep trying to open a line delimiter is nul, not",finger -l -p -s | tail - arg --retry,finger tail
print a sequence of numbers,seq arg arg arg,seq
GNU Bourne-Again SHell arrange for the debugger profile,bash --debugger,bash
Find all *.php (case insensitive) files and *.js files/directories (case insensitive) under /home/jul/here excluding $EXCLUDE/* paths,find arg -type f -iname arg,find
filter for folding lines break at spaces use width columns instead of,fold -w arg --spaces,fold
 verbose: print names of files no action: print names of manual: print manual page. statement: code to act on,rename arg -n -v arg,rename
list regular files under the user's home directory that are over 100KB and have not been accessed in over 30 days.,find arg -type f -atime +Timespan,find
report repeated lines in a file ignore differences in case when,uniq --ignore-case,uniq
compress and expand data,compress,compress
"Search all files in the current directory tree, except GIT files, for ""string-to-search""",find arg -name arg -prune -or,find xargs grep
 use the short format. don't toggle printing the <b>from</b> (remote display ip address instead of old style output. prints blank,w -f --ip-addr --old-style --short,w
reverse lines characterwise display version information and exit.,rev --version,rev
remove sections from each line of files select only these bytes use delim instead of tab and number lines of files use style for numbering footer use style for numbering header do not reset line numbers,cut -b arg -d arg | nl -f ARG --header-numbering ARG --no-renumber,cut nl
"print system information print all information, in the print the kernel version print the processor type (non-portable) and remove sections from each line of files select only these characters use delim instead of tab select only these fields; also",uname -v --all --processor | cut -c arg -d arg --fields arg,cut uname
return false value output version information and exit,false --version,false
change user ID or become superuser,su,su
Display all symlinks and their targets in the current directory tree,find -P arg -type l -exec,find readlink echo
pattern-directed scanning and processing language and concatenate and print files in reverse attach the separator before instead,awk | tac -b,tac awk
pattern scanning and processing language,awk,awk
Find all xml files under current directory,find arg -name arg,find
"Numerically sort file ""table"" by the fourth character of the second field, ignoring leading spaces",sort -b -n -k arg arg,sort
link files prompt whether to remove destinations create symbolic links relative to make symbolic links instead of specify the directory in which,ln -i -r -s -t arg arg arg arg,ln
"filter for folding lines count bytes rather than columns and file perusal filter for crt viewing suppress underlining. the screen size to use,",fold --bytes | more arg -u,fold more
link files allow the superuser to attempt create symbolic links relative to specify the directory in which,ln -F -r -t arg arg arg arg,ln
Set environment variables using assignments are listed in '.env' file and run 'rails' command with defined environment,env $( cat arg | xargs,env
return false value,false,false
make links between files remove existing destination files create symbolic links relative to,ln -r --force arg arg arg,ln
remove empty directories ignore each failure that is output a diagnostic for every,rmdir --ignore-fail-on-non-empty --verbose arg,rmdir
split content of the files *.txt beginning with 1001st line into pieces per 1000 lines,cat arg | tail -n +Quantity,split tail cat
return true value and delay for a specified amount of time,true | sleep Timespan,true sleep
print effective userid,whoami,whoami
return false value,false,false
"catenate files number nonempty output lines, overrides display $ at end of suppress repeated empty output lines",cat -E -b -s,cat
Set variable VAR to change file owner and group do not traverse any symbolic,chown arg arg,chown
" -e start <b>vim</b> in ex -l lisp mode. sets the but less vi compatible, even all the characters that you clipboard will not be used.",vim -N -X -e -l -w arg,vim
differential file comparator report only when files differ report when two files are pass output through 'pr' to ignore case differences in file,diff -i -l -s --brief arg,diff
find all the cpp files in current folder,find arg -name arg,find
display files on a page-by-page basis instead of ringing the bell do not pause after any,more -d -l,more
strip file name affixes remove a trailing suffix; implies end each output line with and pattern-directed scanning and processing language,basename -s arg -z arg | awk,basename awk
"compress or expand files display the <u>gzip</u> license and travel the directory structure recursively. while compressing, synchronize the output test. check the compressed file",gzip -L -t --recursive --rsyncable,gzip
terminate or signal processes,kill arg,kill
search the manual page names and descriptions if this system has access specify an alternate set of,apropos arg,apropos
"compress or expand files decompress. when compressing, do not save",gzip -n --uncompress,gzip
"catenate files equivalent to <b>-vet</b> number nonempty output lines, overrides display $ at end of use ^ and m- notation, and split a file into pieces generate suffixes of length n append an additional suffix to use hex suffixes starting at print a diagnostic just before",cat --number-nonblank --show-all --show-ends --show-nonprinting | split arg --additional-suffix arg --suffix-length arg --verbose,cat split
Perform case insensitive search for *.gif files/directories under downloads directory,find arg -iname arg,find
reverse lines characterwise display help text and exit. and pattern-directed scanning and processing language and build and execute command lines from standard input synonym for the <b>-l</b> option. if the standard input does exit if the size (see and remove sections from each line of files use string as the output,rev -h | awk | xargs -r -x --max-lines arg | cut --output-delimiter arg,xargs awk rev cut
Find all directories under 'project' directory without going into subdirectories that do not match the POSIX egrep regex $PATTERN in their paths and are not empty,find arg -maxdepth arg -mindepth arg,find
"display files on a page-by-page basis count logical lines, rather than option is switched on automatically the screen size to use,",more -f arg -p,more
"display status of jobs in the current session and translate or delete characters use the complement of set1 delete characters in set1, do replace each sequence of a first truncate set1 to length",jobs | tr -C -d -t --squeeze-repeats,jobs tr
 and stream editor for filtering and transforming text suppress automatic printing of pattern specify the desired line-wrap length use extended regular expressions in load minimal amounts of data,mount arg arg | sed -l arg -n -r -u Program,mount sed
"Unzip all "".gz"" files in the current directory tree to their respective directories",find arg -name arg -execdir gunzip,find gunzip
"Output lines 16224 to 16482 of 'file', and stop reading 'file' after line 16482.",awk arg,awk
split a file into pieces do not generate empty output immediately copy input to output,split --elide-empty-files --unbuffered,split
"authentication key generation, management and conversion specify start point (in hex)",ssh-keygen -S arg arg,ssh-keygen
Search for 'String' case insensitively in all files under current directory tree and show the matched lines with their filenames,find arg -name arg -print0 |,find xargs grep
change the file ownership affect the referent of each do not treat '/' specially use rfile's owner and group if a command line argument,chown arg --dereference --no-preserve-root --reference arg,chown
 warn about calls to functions warn when a local variable return 8-byte vectors in memory,gcc arg,gcc
compress or expand files force compression or decompression even,gunzip --force,gunzip
change group ownership traverse every symbolic link to,chgrp arg arg,chgrp
remove empty directories ignore each failure that is remove directory and its ancestors; output a diagnostic for every,rmdir -v --ignore-fail-on-non-empty --parents arg,rmdir
display a tree of processes,pstree,pstree
"run a command immune to hangups, with output to a non-tty output version information and exit",nohup --version,nohup
strip file name affixes remove a trailing suffix; implies,basename -s arg,basename
change the file group ownership suppress most error messages output a diagnostic for every affect the referent of each do not treat '/' specially,chgrp -v --dereference --no-preserve-root --silent arg arg,chgrp
print the groups a user is in output version information and exit,groups --version,groups
catenate files,read,read
recursively change user of the direct public_html and all files into it to user owner,chown -R arg arg,chown
DNS lookup utility,dig,dig
remove sections from each line of files select only these fields; also,cut --fields arg,cut
set or unset options and positional parameters,set,set
print calendar specified on the command line.,cal -y DateTime,cal
Search for the string 'foo' in *.html files under /usr/src/linux directory,grep arg $( find arg -name,find grep
"display a long listing of all the files in the current folder in sorted order, which are bigger than 10KB",find arg -size +Size -exec ls,find ls sort
"run a command immune to hangups, with output to a non-tty",nohup,nohup
"date and time display time described by string, display the last modification time print or set coordinated universal",date --date arg --reference arg --universal,date
"Send one ping request to host whose name or IP address is specified by variable ""remote_machine"".",ping -c arg arg,ping
"GNU Bourne-Again SHell do not use the gnu true if <u>file</u> exists. <b>-b</b> and read from standard input and write to standard output and files append to the given files, ignore interrupt signals and file perusal filter for crt viewing do not pause after any option is switched on automatically is displayed.",bash arg --noediting | tee -a -i | more -c -l -p,bash tee more
DNS lookup utility do reverse ipv6 lookups using,dig arg,dig
schedule periodic background work and pattern-directed scanning and processing language,crontab arg | awk,awk crontab
find all the text files in the current folder and display their Permissions and size along with their name,"find arg -name arg -printf ""%M",find
"concatenate files and print on the standard output number nonempty output lines, overrides and number lines of files use style for numbering footer group of number empty lines use number columns for line",cat --number-nonblank | nl -l arg --footer-numbering ARG --number-width arg,cat nl
find all files in the current folder which have been modified in the last 24 hours and whose file name is of length 1,find arg -name arg -mtime -Timespan,find
"wrap each input line to fit in specified width break at spaces and print newline, word, and byte counts for each file print the byte counts print the newline counts print the maximum display width",fold --spaces | wc -L -c -l,fold wc
"Nano's ANOther editor, an enhanced free Pico clone disable automatic conversion of files enable mouse support, if available just view the file and",nano -m -v --noconvert,nano
number lines of files use style for numbering body,nl --body-numbering ARG,nl
" hebrew keyboard mapping, this option",vim -H arg,vim
"Remove all files except the ones listed in ""MANIFEST""",find arg -type f -printf %P\\n,xargs find comm rm sort
 -l lisp mode. sets the -p[n] open n tab pages. list the names of all,vim -l -p arg --serverlist arg,vim
deliver the last part of a file same as <b>--follow</b>=<u>name</u> <b>--retry</b> always output headers giving file,tail -F --verbose,tail
report file system disk space usage,df,df
GNU Bourne-Again SHell equivalent to <b>-v</b>.,bash --verbose,bash
merge corresponding or subsequent lines of files reuse characters from list instead,paste --delimiters arg,paste
change group ownership output a diagnostic for every affect symbolic links instead of traverse every symbolic link to,chgrp arg -v --no-dereference arg,chgrp
print system information print the kernel name print the kernel version,uname -s --kernel-version,uname
"run a command immune to hangups, with output to a non-tty display this help and exit",nohup --help,nohup
make links between files make a backup of each remove existing destination files treat link_name as a normal,ln -T --backup ARG --force arg arg arg,ln
remove directories remove directory and its ancestors; output a diagnostic for every,rmdir -p --verbose arg,rmdir
remove empty directories remove directory and its ancestors; output a diagnostic for every,rmdir -p -v arg,rmdir
schedule periodic background work,crontab arg,crontab
display a line of text do not output the trailing enable interpretation of backslash escapes disable interpretation of backslash escapes and print resolved symbolic links or canonical file names canonicalize by following every symlink do not output the trailing,echo -E -e -n | readlink -n --canonicalize-existing arg,echo readlink
"list contents of directory colorize the output; when can generate output designed for emacs' with <b>-l</b>, show time as",ls --color ARG --dired --time ARG,ls
change group ownership,chgrp arg arg,chgrp
Count lines of suspend execution for an interval,sleep Timespan | wc -l,wc sleep
remove sections from each line of files display this help and exit,cut --help,cut
,shopt,shopt
,pushd,pushd
"relational database operator like <b>-a</b> filenum, but suppress join on this field of treat the first line in",join -1 arg -v arg --header arg,join
"do nothing, successfully display this help and exit and delay for a specified amount of time display this help and exit",true --help | sleep --help Timespan,true sleep
Find all symbolic links under current directory that are not hard links,find arg -type f -links arg,find
strip directory and suffix from filenames remove a trailing suffix; implies end each output line with,basename --suffix arg --zero arg,basename
Find files owned by nonexistent users,find arg -nouser -print,find
create a temporary file or directory do not create anything; merely suppress diagnostics about file/dir-creation failure,mktemp --dry-run --quiet,mktemp
display system documentation some systems incorporate large packages ignore case when searching for,man -e arg,man
"stream editor for filtering and transforming text suppress automatic printing of pattern and print newline, word, and byte counts for each file print the character counts read input from the files",sed -n Program | wc --chars --files0-from arg,sed wc
merge lines of files reuse characters from list instead paste one file at a,paste -d arg -s,paste
"copy the first part of files print the first num bytes print the first num lines always print headers giving file line delimiter is nul, not",head -c -Quantity -v - arg,head
"list contents of directory do not list implied . likewise, but use powers of print the index number of like <b>-l</b>, but list numeric print ? instead of nongraphic print the allocated size of natural sort of (version) numbers and number lines of files use cc for logical page use style for numbering footer use style for numbering header line number increment at each use number columns for line",ls -A -i -q -v --numeric-uid-gid --si --size | nl -d arg --footer-numbering ARG --header-numbering ARG --line-increment arg --number-width arg,nl ls
change the file modes like verbose but report only output a diagnostic for every use rfile's mode instead of change files and directories recursively,chmod -c -v --recursive --reference arg arg arg,chmod
 interpret <u>pattern</u> as a basic treat input and output data,grep -G -z arg,grep
"report a snapshot of the current processes select by effective group id user-defined format. <u>format</u> is a show threads, possibly with lwp show threads after processes.",ps -L -m -o --group,ps
Search for 'text' in all regular files under current directory tree,find arg -type f -exec grep,find grep
Delete all files that were modified more than 60 days ago under '/path-to-directory' tree,find arg -mtime +Timespan -exec rm,find rm
schedule periodic background work,crontab arg,crontab
"return working directory name use pwd from environment, even avoid all symlinks and translate or delete characters use the complement of set1 delete characters in set1, do replace each sequence of a first truncate set1 to length and output the first part of files print the first num bytes print the first num lines",pwd -L -P | tr -c -d --squeeze-repeats --truncate-set1 | head -c -Quantity,head tr pwd
strip directory and suffix from filenames end each output line with,basename -z arg,basename
"OpenSSH SSH client (remote login program) forces <b>ssh</b> to use ipv6 debugging connection, authentication, and configuration",ssh -6 -v arg,ssh
concatenate and print files in reverse attach the separator before instead interpret the separator as a use string as the separator,tac -r --before --separator arg,tac
return system name print the kernel version,uname -v,uname
"columnate lists output is formatted for a whitespace, by default, or with using the <b>-t</b> option; this and reverse lines characterwise",column -c -Quantity -t | rev,rev column
"remove directory entries ignore nonexistent files and arguments, prompt before every removal prompt according to when: never, when removing a hierarchy recursively,",rm -i --force --interactive ARG --one-file-system arg,rm
build and execute command lines from standard input this option is a synonym exit if the size (see,xargs --exit --replace arg,xargs
date and time like <b>--date</b>; once for each output date/time in rfc 3339 display the last modification time and catenate files,date --file arg --reference arg --rfc-3339 ARG | read,read date
Find files under current directory that contains the string '/bin/ksh',find arg -type f -print |,find xargs grep
"copy files to and from archives print a ""<b>.</b>"" for each replace all files unconditionally.",cpio -V -u arg,cpio
,shopt,shopt
display a tree of processes the display width. if neither,pstree -l,pstree
remove directories ignore each failure that is remove directory and its ancestors; output a diagnostic for every,rmdir -p -v --ignore-fail-on-non-empty arg,rmdir
concatenate and print files in reverse attach the separator before instead interpret the separator as a use string as the separator,tac -r --before --separator arg,tac
secure copy (remote file copy program) selects batch mode (prevents asking traversal.,scp -B -r arg,scp
"Execute `find -type f | egrep -i ""(jpg|bmp|png|gif)$""` every 300 seconds and display without title",watch -n arg -t $( find,find grep watch
print the groups a user is in,groups,groups
"run a command immune to hangups, with output to a non-tty",nohup,nohup
compress data,compress,compress
split a file into pieces use sep instead of newline,split arg arg,split
,shopt,shopt
make a directory set file mode (as in,mkdir -m ARG arg,mkdir
pipe fitting diagnose errors writing to non,tee arg,tee
set or unset options and positional parameters,set,set
report repeated lines in a file,uniq,uniq
compress and expand data,compress,compress
read from standard input and write to standard output and files ignore interrupt signals,tee --ignore-interrupts,tee
"Recursively change all permissions under ""theDirectory/"" to 777(read,write,execute for all users)",chmod -R arg arg,chmod
compress and expand data,compress,compress
show who is logged on print current runlevel and remove sections from each line of files select only these fields; also do not print lines not from first to m'th (included),who --runlevel | cut arg -s --fields arg,who cut
remove empty directories display this help and exit,rmdir --help arg,rmdir
"do nothing, successfully output version information and exit",true --version,true
compress data,compress,compress
OpenSSH SSH client (remote login program) use <u>bind_address</u> on the local this option must be specified do not execute a remote,ssh -N -b arg,ssh
"search in the current folder for all the directories with the name ""test""",find arg -type d -name arg,find
"search for the files in the current folder which begin with the word ""kt"" followed by a digit",find arg -name arg,find
sort lines of text files sort according to word: general-numeric,sort --sort ARG,sort
Delete all hidden files under $some_directory,find arg -type f -name arg,find
make links between files,ln arg arg arg,ln
,history arg,history
"change the working directory and concatenate files and print on the standard output equivalent to <b>-vet</b> number all output lines use ^ and m- notation,",cd | cat -n -v --show-all,cat cd
change file mode bits like verbose but report only do not treat '/' specially use rfile's mode instead of change files and directories recursively,chmod -c --no-preserve-root --recursive --reference arg arg arg,chmod
make links between files make a backup of each dereference targets that are symbolic specify the directory in which,ln -L -t arg --backup ARG arg arg arg,ln
transfer a URL,curl,curl
search the manual page names and descriptions print debugging information. search only the given manual specify an alternate set of,apropos arg,apropos
"list contents of directory list entries by columns follow each command line symbolic like <b>-l</b>, but list numeric list one file per line. and number lines of files use number columns for line",ls -1 -C -n --dereference-command-line-symlink-to-dir | nl -w arg,nl ls
" force compression or decompression even for each compressed file, list display the <u>gzip</u> license and",zcat arg --force --license,zcat
Lists all files that matches path pattern with wildcards.,ls -l arg,ls
"Show the mv commands that would rename the *.so files in the current directory tree prepending their names with ""lib""","find arg -name arg -printf ""mv",find less
date and time like <b>--date</b>; once for each set time described by string,date -s arg --file arg,date
send ICMP ECHO_REQUEST packets to network hosts set the so_debug option on is more. for every echo_request wait <u>wait</u> seconds <u>between</u> <u>sending</u> quiet output. nothing is displayed verbose output. icmp packets other,ping -d -f -i -Quantity -v arg,ping
"sort and/or merge files get random bytes from file natural sort of (version) numbers write result to file instead use dir for temporaries, not",sort -T arg -V --output arg --random-source arg,sort
"execute a program periodically, showing output fullscreen freeze updates on command error, exit when the output of effect. this with the --exec",watch -g --errexit --exec,watch
change the file ownership suppress most error messages do not treat '/' specially fail to operate recursively on operate on files and directories if a command line argument,chown arg -R --no-preserve-root --preserve-root --silent arg,chown
search the manual page names and descriptions interpret each keyword as a do not trim output to use this user configuration file,apropos arg,apropos
return working directory name,pwd,pwd
change the file group ownership like verbose but report only suppress most error messages output a diagnostic for every use rfile's group rather than operate on files and directories if a command line argument,chgrp arg -f -v --changes --recursive --reference arg,chgrp
print sequences of numbers use printf style floating-point format use string to separate numbers equalize width by padding with,seq -f ARG --equal-width --separator arg arg arg arg,seq
remove empty directories remove directory and its ancestors; output a diagnostic for every,rmdir --parents --verbose arg,rmdir
"print system information print all information, in the print the kernel name print the kernel version print the processor type (non-portable)",uname -p --all --kernel-name --kernel-version,uname
"Find all directories in maximum 1 level down the $front_element directory, sort them according to modification time and list them excluding the $front_element path from the list",find arg -maxdepth arg -type d,find awk sort
link files allow the superuser to attempt remove existing destination files prompt whether to remove destinations treat link_name as a normal make symbolic links instead of,ln -F -n -s --force --interactive arg arg arg,ln
"a block-sorting file compressor, v1.0.6 set the block size to -2 2000k 900k 600k 877703",bunzip2 arg,bunzip2
Counts lines with all-cased word 'null' in file 'myfile.txt'.,grep -n -i arg arg |,grep wc
"print calendar . the country code as print the number of the display the previous, current and use <u>yyyy-mm</u> as the current and pattern-directed scanning and processing language",cal -3 -DateTime DateTime | awk,awk cal
List all environment variables containing 'USER' in their name or value that would result in running a command with 'sudo env'.,env | grep arg,env grep
"word, line, and byte or character count print the byte counts print the character counts print the newline counts print the maximum display width print the word counts",wc -L -c -m --lines --words,wc
find all the files in the entire file system that have been modified exactly  50 days ago,find arg -mtime Timespan,find
print calendar print the number of the months to add before. the use <u>yyyy-mm-dd</u> as the current,cal -B -Quantity -DateTime DateTime,cal
 and pattern-directed scanning and processing language,history arg | awk,history awk
"display who is on the system print line of column headings print active processes spawned by all login names and number print only name, line, and add user's message status as list users logged in and sort lines of text files natural sort of (version) numbers compress temporaries with prog; decompress use size for main memory",who -H -T --count --process --short --users | sort -V --buffer-size Size --compress-program Program,who sort
"columnate lists whitespace, by default, or with",column -t,column
OpenSSH SSH client (remote login program) and unix-domain connections). the compression specifies the location of a extension controls. (debian-specific: this option,ssh -C -S arg arg,ssh
"overwrite a file to hide its contents, and optionally delete it show progress",shred --verbose arg,shred
concatenate and print files in reverse interpret the separator as a and translate or delete characters and remove sections from each line of files use delim instead of tab complement the set of selected,tac --regex | tr | cut -d arg --complement,tac cut tr
List all defined bash functions,set | grep -E arg |,sed set grep
Find all directories in maximum 2 levels down the /tmp/test directory,find arg -maxdepth arg -mindepth arg,find
display Linux processes starts top with the last specifies the name of the display only processes with a,top -i -o arg,top
"columnate lists output is formatted for a specify a set of characters whitespace, by default, or with using the <b>-t</b> option; this do not ignore empty lines. and opposite of more causes <u>less</u> to automatically exit forces non-regular files to be use of lesskey files",column -c -Quantity -n -s arg | less -f -k arg,less column
,shopt,shopt
date and time like <b>--date</b>; once for each set time described by string,date -s arg --file arg,date
compare two sorted files line by line suppress column 1 (lines unique check that the input is and translate or delete characters replace each sequence of a first truncate set1 to length,comm -1 --check-order arg | tr -s -t,comm tr
"concatenate and print files in reverse attach the separator before instead interpret the separator as a use string as the separator and reverse lines characterwise and pattern-directed scanning and processing language and columnate lists output is formatted for a specify a set of characters whitespace, by default, or with",tac -b --regex --separator arg | rev | awk | column -c -Quantity -t,awk tac rev column
OpenSSH SSH client (remote login program) specifies an alternative per-user configuration specify the pkcs#11 shared library disable pseudo-terminal allocation.,ssh -F arg -T arg,ssh
"Search the *.cc files in the current directory tree for string ""xxx""",find arg -name arg | xargs,find xargs grep
"print lines matching a pattern surround the matched (non-empty) strings, prefix each line of output skip any command-line directory with",grep -F -n --color ARG --exclude-dir arg arg,grep
wrap each input line to fit in specified width break at spaces use width columns instead of,fold -s -w arg,fold
date and time display the last modification time,date -r arg,date
clear the terminal screen,clear,clear
"sort lines of text files like <b>-c</b>, but do not",sort -C arg,sort
show who is logged on attempt to canonicalize hostnames via add user's message status as same as <b>-t</b> and pattern-directed scanning and processing language,who -w --lookup --message | awk,who awk
DNS lookup utility batch mode: <b>dig</b> reads a print the version number and,dig -f arg,dig
"Find all regular files whose names contain ""@"" in directory tree ~/$folder",find arg -name arg -type f,find
Find all files/directories that contain 'target' (case insensitive) in their names under current directory no-recursively,find arg -maxdepth arg -iname arg,find
send a signal to a process,kill arg,kill
"strip directory and suffix from filenames remove a trailing suffix; implies end each output line with and translate or delete characters delete characters in set1, do and wrap each input line to fit in specified width count bytes rather than columns",basename -z --suffix arg | tr --delete | fold --bytes,fold basename tr
remove files or directories prompt before every removal do not remove '/' (default) explain what is being done,rm -i --preserve-root --verbose arg,rm
number lines of files use cc for logical page use style for numbering header group of number empty lines insert line numbers according to use number columns for line,nl -d arg -l arg -n ARG --header-numbering ARG --number-width arg,nl
Find all files in the current directory tree and count them,find | wc -l,find wc
" in. on the amiga, <b>vim</b> -o[n] open n windows side file. the optional number n",vim -O arg -V arg -f arg,vim
"print newline, word, and byte counts for each file print the character counts print the newline counts print the word counts and remove sections from each line of files select only these bytes select only these fields; also use string as the output and report or omit repeated lines prefix lines by the number line delimiter is nul, not",wc -l --chars --words | cut -b arg --fields arg --output-delimiter arg | uniq -c -z,uniq wc cut
"display files on a page-by-page basis instead of ringing the bell option is switched on automatically the screen size to use,",more -d arg -p,more
send a signal to a process,kill arg,kill
"file perusal filter for crt viewing instead of ringing the bell option is switched on automatically and  obtain patterns from <u>file</u>, one suppress normal output; instead print stop reading a file after print the file name for print <u>num</u> lines of leading",more -d -p | grep -B arg -m arg --file arg --files-with-matches --with-filename arg,more grep
pattern-directed scanning and processing language,awk,awk
terminate or signal processes list signal names. this option,kill -l arg,kill
strip directory and suffix from filenames remove a trailing suffix; implies end each output line with and pattern-directed scanning and processing language,basename -s arg -z arg | awk,basename awk
Find all files/directories named 'java' under /usr directory,find arg -name arg,find
"report or omit repeated lines print all duplicate lines like <b>-d</b>, but allow separating line delimiter is nul, not",uniq -D -z --all-repeated ARG,uniq
"Check whether ""/full/path"" is a mount point with no output and using the exit code",df arg | grep -q arg,df grep
"compress or expand files when compressing, use suffix .suf test. check the compressed file",gzip -S arg,gzip
"List all php files below current directory whose full pathname name does not include ""libs"", ""tmp"", ""tests"", or ""vendor"", sorted by number of lines, letting the user page interactively through the output.",find arg -name arg -print0 |,xargs grep wc find less sort
Find files/directories that are newer than 'foo.txt' under current directory tree,find arg -newer arg,find
pattern-directed scanning and processing language,awk,awk
send a signal to a process,kill arg,kill
change the file modes suppress most error messages change files and directories recursively,chmod -R -f arg arg,chmod
"GNU Bourne-Again SHell arrange for the debugger profile do not use the gnu initialization file <u><a href=""file:~/.bashrc"">~/.bashrc</a></u> if and read from standard input and write to standard output and files append to the given files, ignore interrupt signals and  interpret <u>pattern</u> as a list select only those lines containing",bash --debugger --noediting --norc | tee -a -i | grep --fixed-strings --word-regexp arg,bash tee grep
run jobs in the background,bg,bg
catenate files,read,read
line numbering filter use style for numbering footer first line number for each and concatenate and print files in reverse attach the separator before instead use string as the separator,nl -v arg --footer-numbering ARG | tac -b --separator arg,tac nl
return false value,false,false
Format the date represented by time string @1267619929 according to default format and print it,date -u -d @1267619929,date
stream editor for filtering and transforming text suppress automatic printing of pattern follow symlinks when processing in specify the desired line-wrap length disable all gnu extensions. separate lines by nul characters,sed -n -z --follow-symlinks --line-length arg --posix Program,sed
line numbering filter use style for numbering footer add string after (possible) line,nl -s arg --footer-numbering ARG,nl
"Answer ""y"" to all prompts of ""rm -rf foo""",yes | rm -r -i arg,rm yes
"join lines of two files on a common field join on this field of and join lines of two files on a common field replace missing input fields with equivalent to '-1 field <b>-2</b> like <b>-a</b> filenum, but suppress join on this field of",join -1 arg arg | join -1 arg -e arg -j arg -v arg arg,join
print lines matching a pattern,grep -F arg,grep
,sudo,sudo
" invert the sense of matching, print the file name for suppress the prefixing of file and search for files in a directory hierarchy examines or prints information about because <b>-delete</b> implies <b>-depth</b>, you",grep -H -v --no-filename arg | find -H -prune arg,grep find
merge corresponding or subsequent lines of files reuse characters from list instead paste one file at a,paste --delimiters arg --serial,paste
change user ID or become superuser,su,su
"dump files in octal and other formats do not use * to same as <b>-t</b> d2, select same as <b>-t</b> x2, select and translate or delete characters use the complement of set1 delete characters in set1, do",od -s -x --output-duplicates | tr -d --complement,od tr
search for files in a directory hierarchy print diagnostic information; this can file is empty and is true; like <b>-printf</b> but write unless the environment variable posixly_correct,find arg -empty -fprintf arg ARG arg,find
Find all files/directories in level 2 down the current directory,find arg -mindepth arg -maxdepth arg,find
stream editor for filtering and transforming text,sed Program,sed
catenate files number all output lines and number lines of files,cat --number | nl,cat nl
Search for 'Processed Files' in all $srch* (case insensitive) files under current directory,find arg -iname arg -exec grep,find grep
List each file or directory in the current directory prefixed by its filesize in bytes and sorted from smallest to largest,du -a --max-depth arg | sort,sort du
construct argument lists and invoke utility read items from <u>file</u> instead prompt the user about whether print the command line on,xargs -a arg --interactive,xargs
find all the javascript files in current folder using regular expressions,find arg -regex arg,find
"Nano's ANOther editor, an enhanced free Pico clone when saving a file, back",nano --backup,nano
change the working directory,cd,cd
,bind,bind
"do nothing, successfully output version information and exit",true --version,true
copy files and directories like <b>--backup</b> but does not,cp -b arg,cp
"print newline, word, and byte counts for each file read input from the files",wc --files0-from arg,wc
"display all the files in the home folder which end with "".xbm""",find arg -name arg,find
find directory which name is Cookbook under /users/al,find arg -name arg -type d,find
"user information lookup program the terminal name if write “<u>.pgpkey</u>” files. the users' real names, unless",finger -m -p -s,finger
change the file ownership suppress most error messages fail to operate recursively on,chown -f --preserve-root arg arg,chown
stream editor for filtering and transforming text load minimal amounts of data separate lines by nul characters,sed -u -z Program,sed
locate a command print all matching pathnames of,which -a arg,which
"secure copy (remote file copy program) selects batch mode (prevents asking selects the cipher to use limits the used bandwidth, specified quiet mode: disables the progress helpful in debugging connection, authentication,",scp -B -c -l -q -v arg,scp
